,Location,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing
344,"Seputeh, Kuala Lumpur",2,2.0,2.0,Condominium,"Built-up : 1,025 sq. ft.",Fully Furnished
345,"Sentul, Kuala Lumpur",3,3.0,1.0,Condominium,"Built-up : 1,186 sq. ft.",
346,"Dutamas, Kuala Lumpur",3+1,5.0,2.0,Condominium,"Built-up : 1,709 sq. ft.",Fully Furnished
347,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",3+1,2.0,2.0,Serviced Residence,"Built-up : 1,094 sq. ft.",Unfurnished
348,"Titiwangsa, Kuala Lumpur",5+1,5.0,4.0,Bungalow (Corner),Land area : 6050 sq. ft.,Partly Furnished
349,"Mont Kiara, Kuala Lumpur",4+1,4.0,3.0,Condominium (Corner),"Built-up : 2,495 sq. ft.",Partly Furnished
350,"Dutamas, Kuala Lumpur",4+1,4.0,3.0,Condominium (Corner),"Built-up : 2,070 sq. ft.",Partly Furnished
351,"Sungai Besi, Kuala Lumpur",3,2.0,2.0,Serviced Residence (Corner),"Built-up : 1,130 sq. ft.",Partly Furnished
352,"Mont Kiara, Kuala Lumpur",,,,Residential Land,Land area : 10358 sq. ft.,
353,"Seputeh, Kuala Lumpur",,,,Residential Land (Intermediate),Land area : 9884 sq. ft.,
354,"Mont Kiara, Kuala Lumpur",4,5.0,,Condominium,"Built-up : 3,400 sq. ft.",Partly Furnished
355,"Cheras, Kuala Lumpur",3+1,3.0,4.0,2-sty Terrace/Link House (Intermediate),Land area : 22x70 sq. ft.,Fully Furnished
356,"Sentul, Kuala Lumpur",3,2.0,,Condominium (Intermediate),Land area : 1062 sq. ft.,Unfurnished
357,"Desa Petaling, Kuala Lumpur",,,,Condominium,"Built-up : 1,141 sq. ft.",
